table,table_title,financial_year,row_group,row_label,column,value
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Adjudicated outcomes,15 Offences against government,85
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Adjudicated outcomes,16 Environmental offences,83
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Adjudicated outcomes,17 Miscellaneous offences,14
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Adjudicated outcomes,Total,20981
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Acquitted,01 Homicide,0
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Acquitted,02 Assault,151
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Acquitted,03 Sexual offences,43
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Acquitted,04 Harm or endanger persons,8
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Acquitted,"05 Robbery, blackmail, and extortion",3
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Acquitted,06 Burglary,31
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Acquitted,07 Theft,24
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Acquitted,08 Fraud and related offences,6
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Acquitted,09 Drug offences,62
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Acquitted,10 Weapons and explosives offences,21
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Acquitted,11 Property damage,21
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Acquitted,"12 Public order, health, and safety offences",4
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Acquitted,13 Traffic and vehicle offences,26
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Acquitted,14 Offences against justice procedures and orders,23
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Acquitted,15 Offences against government,0
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Acquitted,16 Environmental offences,6
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Acquitted,17 Miscellaneous offences,0
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Acquitted,Total,423
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty outcome,01 Homicide,0
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty outcome,02 Assault,2006
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty outcome,03 Sexual offences,90
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty outcome,04 Harm or endanger persons,120
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty outcome,"05 Robbery, blackmail, and extortion",8
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty outcome,06 Burglary,716
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty outcome,07 Theft,1978
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty outcome,08 Fraud and related offences,257
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty outcome,09 Drug offences,1167
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty outcome,10 Weapons and explosives offences,1238
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty outcome,11 Property damage,719
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty outcome,"12 Public order, health, and safety offences",1007
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty outcome,13 Traffic and vehicle offences,9258
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty outcome,14 Offences against justice procedures and orders,1822
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty outcome,15 Offences against government,82
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty outcome,16 Environmental offences,81
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty outcome,17 Miscellaneous offences,14
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty outcome,Total,20558
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty plea by defendant,01 Homicide,0
Table 43,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty plea by defendant,02 Assault,1980
